osm_id,lon,lat,building_tag,name,용도분류,판정단계,판정근거
w355937417,126.989340,37.568589,yes,,미분류,-,OSM 내 용도 근거 없음
w355937418,126.989317,37.568489,yes,아름다운청년 전태일기념관,종교·문화,L2,tourism=museum
w357697402,127.003532,37.582465,yes,,종교·문화,L4,내부 POI 1개: 큐씨어터
w357697405,127.003716,37.582482,yes,정보소극장,종교·문화,L2,amenity=theatre
w357697409,127.003596,37.582286,yes,목금토갤러리 (Mokgeumto Gallery),상업·업무,L2,shop=art
w357697412,127.003531,37.582086,yes,,미분류,-,OSM 내 용도 근거 없음
w357697413,127.003706,37.582074,yes,학전블루소극장,종교·문화,L2,amenity=theatre
w357697414,127.003512,37.581907,yes,쌀레에뻬뻬,상업·업무,L2,amenity=restaurant
w357697415,127.003703,37.581839,commercial,,상업·업무,L1,building=commercial
w357702004,127.003532,37.581596,commercial,,상업·업무,L1,building=commercial
w357702006,127.003718,37.581604,yes,,종교·문화,L5,인접 POI 스냅 1개: 아트하우스 (1m)
w357702009,127.003525,37.581422,commercial,,상업·업무,L1,building=commercial
w357702011,127.003722,37.581390,yes,커피빈 대학로마로니에점,상업·업무,L2,amenity=cafe
w357702013,127.003480,37.581299,commercial,,상업·업무,L1,building=commercial
w357702014,127.003602,37.581294,commercial,,상업·업무,L1,building=commercial
w357702015,127.003533,37.581214,yes,유니플렉스,종교·문화,L2,amenity=theatre
w357702016,127.003746,37.581201,commercial,,상업·업무,L1,building=commercial
w357702017,127.003527,37.581035,commercial,,상업·업무,L1,building=commercial
w357702018,127.003738,37.581004,commercial,,상업·업무,L1,building=commercial
w357706065,127.003521,37.580719,yes,,미분류,-,OSM 내 용도 근거 없음
